Name,Purpose,Quantity,Total Cost (USD),Distributor
Zip Ties,Cable management,1,1.04,Daraz Nepal
22 AWG Wire,For long connections,1,4.08,Daraz Nepal
18 AWG Wire,For power connections,1,5.34,Daraz Nepal
24V 15A SMPS,For power delivery,1,31.14,Daraz Nepal
0603 resistors,For PCB,1,4.58,Daraz Nepal
0805 capacitors,For PCB,1,5.78,Daraz Nepal
Pitch Connectors,For PCB,1,6.12,Daraz Nepal
JST XH Connectors,For PCB,1,5.11,Daraz Nepal
5015 24V Fan,For cooling duct,1,5.27,Daraz Nepal
Screws,For securing connections,1,11.78,Daraz Nepal
24V Heated Bed,For printer,1,19.78,Daraz Nepal
PEI Sheet,For printer,1,13.52,Daraz Nepal
GT2 idler,For movement,8,25.24,Daraz Nepal
GT2 belt,For movement,1,10.99,Daraz Nepal
E3D Hotend,For printing,1,11.05,Daraz Nepal
Timing belt fixer,For attaching belts,1,3.10,Daraz Nepal
T-Nuts,For attaching extrusions,1,5.84,Daraz Nepal
MK8 Extruder,For filament output,1,12.14,Daraz Nepal
Pancake Stepper,For MK8 extruder,1,12.04,Daraz Nepal
3015 Fan,For hotend cooling,1,3.14,Daraz Nepal
Brass Inserts,For fasteners,1,8.89,Daraz Nepal
Allen Keys,For securing hex nuts,1,1.75,Daraz Nepal
Limit switches,For min-max feedback,2,3.92,Daraz Nepal
Motor Coupler,For attaching steppers and rods,2,2.44,Daraz Nepal
Threaded Rods,For Z-axis movement,2,7.54,Daraz Nepal
GT2 pulley,For steppers,2,1.57,Daraz Nepal
Stepper Motors,For movement,4,51.95,Daraz Nepal
LM10UU Bearings,For linear movement,8,18.49,Daraz Nepal
LM12UU Bearings,For linear movement,4,11.99,Daraz Nepal
Linear Shaft (300mm),For linear movement (12mm),4,67.98,Daraz Nepal
Linear Shaft (500mm),For linear movement (10mm),2,27.06,Daraz Nepal
Linear Shaft (330mm),For linear movement (10mm),2,19.10,Daraz Nepal
BLTouch,For auto-bed leveling,1,12.74,Daraz Nepal
2040 Extrusion,For printer stability,1,15.00,Daraz Nepal
2020 Extrusion (800mm),Printer frame,5,117.08,Daraz Nepal
2020 Extrusion (600mm),Printer frame,5,104.98,Daraz Nepal
TMC2209 drivers,To drive motors,5,37.26,Daraz Nepal
12864 LCD,To display stuff,1,35.39,Daraz Nepal
3-Way Connector,To connect corners of extrusion,8,17.53,Daraz Nepal
Vulcan-MK1 PCB,To control printer,1,166.65,JLCPCB
Shipping,,1,29.72,Daraz Nepal & JLCPCB
Total,,1,959.57,
