Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C14, C2, C29, C3, C30, C36, C37, C39, C4, C43, C44, C45, C46, C5, C50, C52, C53, C54, C56, C58, C59, C6, C61",0603,26,100nF,
C13,0805,1,1uF,
"C15, C16",0603,2,18pF,
"C31, C51, C55, C57, C60",CP_Elec_6.3x7.7,5,100uF,
C32,C_Elec_8x10.2,1,470uF,
"C33, C34, C35, C38",0805,4,10uF,
"C40, C41",0805,2,22uF,
C42,0603,1,75pF,
C7,0805,1,4.7uF,
"C8, C9",0805,2,2.2uF,
"D1, D2",0603,2,D_Schottky,
"D3, D6",0603,2,D,
"D4, D5",0603,2,GREEN,
F1,1206,1,15A,
FB1,0603,1,FerriteBead,
J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,
"J14, J17, J18, J19, J25, J26",JST_XH_B2B-XH-AM_1x02_P2.50mm_Vertical,6,Conn_01x02,
J15,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",1,Power_In,
J16,JST_XH_B5B-XH-AM_1x05_P2.50mm_Vertical,1,Conn_01x05,
"J20, J30, J31, J34, J35, J36, J37",JST_XH_B3B-XH-AM_1x03_P2.50mm_Vertical,7,Conn_01x03,
J21,IDC-Header_2x05_P2.54mm_Vertical_SMD,1,EXP1,
J22,IDC-Header_2x05_P2.54mm_Vertical_SMD,1,EXP2,
J23,JST_XH_B2B-XH-AM_1x02_P2.50mm_Vertical,1,5015_Connector,
J24,JST_XH_B2B-XH-AM_1x02_P2.50mm_Vertical,1,3010_Connector,
"J27, J28, J29, J32, J33",JST_XH_B4B-XH-AM_1x04_P2.50mm_Vertical,5,Conn_01x04,
J8,microSD_HC_Molex_47219,1,Micro_SD_Card_Det1,
L1,L_Cenker_CKCS4030,1,15uH,
LED1,0603,1,RED,
Q1,TO-220-3_Vertical,1,IRF4905,
"Q2, Q3",TO-220-3_Vertical,2,IRLB8721PBF,
"R1, R16, R17, R18, R19, R20, R21, R27, R48, R49, R50, R54, R55, R56, R57, R58, R59, R62, R63",0603,19,10K,
"R2, R3",0603,2,5.1K,
R22,0603,1,33R,
"R28, R32, R44, R47",0603,4,100K,
R29,0603,1,511K,
R30,0603,1,105K,
R31,0603,1,49.9R,
R33,0603,1,13.3K,
"R34, R35, R36, R37, R38, R39, R40, R42, R45",0603,9,4.7K,
"R41, R51, R52, R53, R60, R61",0603,6,1K,
"R43, R46",0603,2,100R,
SW1,SW_SPST_PTS647_Sx38,1,SW_Push,
SW3,SW_SPDT_PCM12,1,SW_SPDT,
U1,LQFP-100_14x14mm_P0.5mm,1,STM32F407VETx,
"U2, U3, U4, U5, U6",MODULE_TMC2209_SILENTSTEPSTICK,5,TMC2209_SILENTSTEPSTICK,
U8,SOT-223-3_TabPin2,1,AMS1117-3.3,
U9,SOT-23-6,1,TPS54202DDC,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,8MHz,
