Designator,Mid X,Mid Y,Rotation,Layer
C1,164.4125,-90.725,270.0,top
C10,145.7125,-108.8,90.0,top
C11,142.8375,-100.35,0.0,top
C13,141.5825,-102.975,270.0,top
C14,143.6325,-102.975,270.0,top
C15,150.4125,-95.525,0.0,bottom
C16,150.4125,-97.0,0.0,bottom
C2,150.3125,-99.375,180.0,bottom
C29,189.5875,-138.73,90.0,top
C3,148.3875,-86.8,0.0,top
C30,173.3625,-138.655,90.0,top
C31,186.5625,-128.99,90.0,top
C32,185.2375,-102.5,180.0,top
C33,196.8875,-87.05,0.0,top
C34,196.8375,-77.8,180.0,top
C35,168.8625,-79.695,180.0,bottom
C36,168.8625,-77.89,180.0,bottom
C37,189.9425,-71.8675,90.0,top
C38,191.6925,-71.8925,90.0,top
C39,185.7675,-72.3675,0.0,top
C4,149.6875,-107.75,270.0,top
C40,184.3675,-63.75,90.0,top
C41,186.3625,-63.75,90.0,top
C42,183.1575,-75.75,90.0,top
C43,104.486702,-106.025,90.0,top
C44,104.486702,-114.675,90.0,top
C45,104.486702,-123.0,90.0,top
C46,104.65,-131.7,90.0,top
C5,143.7875,-95.25,180.0,top
C50,186.5625,-122.615,90.0,top
C51,170.2375,-128.965,90.0,top
C52,170.2375,-122.59,90.0,top
C53,140.7375,-138.635,90.0,top
C54,124.4625,-138.62,90.0,top
C55,137.7625,-128.995,90.0,top
C56,137.7375,-122.57,90.0,top
C57,121.4375,-128.855,90.0,top
C58,121.4375,-122.53,90.0,top
C59,156.9875,-138.685,90.0,top
C6,161.4625,-106.725,0.0,top
C60,154.0125,-128.995,90.0,top
C61,153.9875,-122.595,90.0,top
C7,161.4375,-108.525,0.0,top
C8,159.2875,-92.0,180.0,bottom
C9,160.1875,-101.45,270.0,bottom
D1,192.9375,-87.05,180.0,top
D2,193.7375,-89.7125,270.0,top
D3,107.73875,-81.395,0.0,top
D4,107.73875,-85.345,180.0,top
D5,108.1375,-97.25,180.0,top
D6,108.1,-93.475,0.0,top
F1,183.8875,-109.925,90.0,top
FB1,139.2375,-103.05,270.0,top
J1,200.9425,-93.92,90.0,top
J14,100.661702,-106.775,90.0,top
J15,199.01,-105.055,90.0,top
J16,174.275,-101.9,90.0,top
J17,100.661702,-115.275,90.0,top
J18,100.661702,-123.675,90.0,top
J19,100.775,-143.5125,90.0,top
J20,100.7875,-133.725,90.0,top
J21,157.7875,-68.605,180.0,top
J22,141.0375,-68.62,180.0,top
J23,133.475,-101.3,180.0,top
J24,123.85,-101.3,180.0,top
J25,100.8,-85.165,90.0,top
J26,100.79375,-96.965,90.0,top
J27,185.9125,-145.2425,180.0,top
J28,169.8375,-145.0675,180.0,top
J29,153.4125,-145.2225,180.0,top
J30,102.75,-61.2375,180.0,top
J31,128.85,-64.275,90.0,top
J32,137.1625,-145.0225,180.0,top
J33,120.9875,-145.0075,180.0,top
J34,102.675,-68.025,180.0,top
J35,122.1,-64.275,90.0,top
J36,102.6625,-74.8125,180.0,top
J37,115.35,-64.275,90.0,top
J8,172.9075,-65.295,180.0,top
L1,186.5875,-76.65,270.0,top
LED1,190.5625,-81.15,270.0,top
Q1,188.0475,-115.1,180.0,top
Q2,113.93875,-85.345,90.0,top
Q3,114.0,-97.265,90.0,top
R1,197.7875,-71.2,180.0,top
R16,168.0975,-75.67,90.0,top
R17,169.5825,-75.645,90.0,top
R18,171.0825,-75.675,90.0,top
R19,174.0375,-75.675,90.0,top
R2,195.3725,-96.255,90.0,top
R20,175.5075,-75.675,90.0,top
R21,177.0075,-75.675,90.0,top
R22,172.4125,-75.675,90.0,top
R27,150.5125,-93.5,180.0,bottom
R28,189.7525,-112.75,0.0,top
R29,189.6375,-68.85875,90.0,top
R3,195.4475,-91.445,270.0,top
R30,188.8125,-63.63,90.0,top
R31,180.8875,-78.025,0.0,top
R32,180.8875,-76.525,180.0,top
R33,180.8875,-74.975,180.0,top
R34,106.011702,-106.05,270.0,top
R35,106.011702,-114.7,270.0,top
R36,106.011702,-123.0,270.0,top
R37,104.645,-142.8375,270.0,top
R38,152.4375,-85.65,270.0,bottom
R39,148.3875,-85.2,0.0,top
R40,150.9625,-85.65,270.0,bottom
R41,192.4375,-77.75,0.0,top
R42,105.53875,-83.53,270.0,top
R43,116.71375,-86.67,90.0,top
R44,116.71375,-83.67,90.0,top
R45,105.65,-95.525,270.0,top
R46,116.65,-98.5,90.0,top
R47,116.65,-95.5,90.0,top
R48,182.5625,-120.315,180.0,top
R49,166.4375,-120.415,180.0,top
R50,150.0625,-120.42,180.0,top
R51,181.8375,-129.19,90.0,top
R52,165.4375,-128.965,90.0,top
R53,149.3125,-128.845,90.0,top
R54,108.2,-62.875,90.0,top
R55,128.8875,-69.875,180.0,top
R56,133.7875,-120.35,180.0,top
R57,117.9625,-120.105,180.0,top
R58,108.2,-69.65,90.0,top
R59,122.1375,-69.875,180.0,top
R60,132.9625,-128.995,90.0,top
R61,116.5625,-128.925,90.0,top
R62,108.2,-76.4375,90.0,top
R63,115.4375,-69.75,180.0,top
SW1,141.3375,-108.8,180.0,top
SW3,202.0875,-71.95,90.0,top
U1,154.6875,-97.0,270.0,top
U2,185.4375,-131.57,180.0,top
U3,169.1125,-131.55,180.0,top
U4,152.8375,-131.545,180.0,top
U5,136.5875,-131.525,180.0,top
U6,120.2875,-131.47,180.0,top
U8,196.8875,-82.4,180.0,top
U9,186.7625,-69.1375,270.0,top
Y1,143.0625,-97.8,180.0,top
